usina,Alpha,Beta,Gamma,Omega,Mu,MSE
UTECMCE029720-8,8.434,35.508,-2.498,4.282,0.0,21134.204
UTECMCE030098-5,0.002,1766.936,168980.183,-168980.392,0.01,1639.459
UTECMMA029700-3,0.0,26.606,-5.885,6.81,0.984,3500.311
UTECMRS029767-4,86.29,-149.052,7.776,0.0,22.573,69895.78
UTECMRS032282-2,48.335,-19.484,-18.255,-0.0,4.76,76775.05
UTECMSC001260-2,0.0,88.19,13.995,0.001,5.789,60894.113
UTECMSC027093-8,3670.158,18262.056,67699.124,-67677.343,0.28,12453.851
UTECMSC027094-6,0.0,81.513,-20.591,37.735,0.0,231081.898
UTEGNAM027250-7,44.2,-21.797,33.657,-0.0,14.653,0.0
UTEGNAM029272-9,28974.214,-19549.637,4552.167,-194.859,4.678,198.49
UTEGNAM029361-0,0.0,63.171,-15.683,0.032,8.124,373.809
UTEGNAM029432-2,0.001,-1317.385,33246.991,-33149.757,-0.037,580.785
UTEGNAM031888-4,0.028,32.183,27.866,0.0,21.902,7000.71
UTEGNBA032545-7,0.0,47.024,-0.756,0.823,-0.0,1152.986
UTEGNCE028358-4,72.915,-49.696,0.081,-0.0,39.917,40.038
UTEGNES030054-3,0.233,47.1,-0.299,0.317,0.0,56.33
UTEGNMA030196-5,5.473,47.449,-0.533,1.384,0.0,1105.79
UTEGNMA030800-5,0.0,40.453,-6.701,3.093,0.0,26541.131
UTEGNMA031193-6,0.001,2352.788,140091.604,-140091.571,0.016,173.784
UTEGNMG001096-0,20.758,-11.983,0.379,0.0,43.536,0.0
UTEGNMG001276-9,3.525,50.731,-1.731,1.721,0.007,3.75
UTEGNMS027975-7,0.001,737.574,282549.767,-282549.763,0.002,379.143
UTEGNPE028031-3,2.785,27.421,0.15,-0.0,2.049,29.873
UTEGNPE028326-6,143.53,12.152,0.002,-0.0,26.309,0.0
UTEGNRJ001544-0,0.0,45.275,-2.51,-0.001,1.308,9459.879
UTEGNRJ027243-4,272.305,4977.94,54745.905,-54742.496,0.091,5697.638
UTEGNRJ027952-8,56.129,-107.647,1.32,-0.0,6.131,1270.061
UTEGNRJ028029-1,0.0,57.27,-16.474,13.484,-2.43,4826.114
UTEGNRJ030769-6,0.0,36.16,-57831.017,57833.152,0.0,35339.342
UTEGNSP028191-3,12.042,19.662,0.537,-0.0,8.181,382.031
UTEPEAM029276-1,1.232,27.497,20.521,-0.0,34.406,368.843
UTEPEAM029499-3,0.12,1859.37,-1238.473,0.0,59.176,29939.183
UTEPEBA029639-2,0.0,71.558,-1.983,1.976,0.0,0.989
UTEPEBA029653-8,1.816,68.925,-0.014,0.0,189.047,0.474
UTEPEES029664-3,0.0,69.017,0.04,-0.0,7.832,0.848
UTEPEMA029668-6,0.002,60.842,0.057,0.0,89.691,14.442
UTEPEMA029705-4,0.0,64.056,-4.603,4.645,0.0,41.499
UTEPEPE030120-5,123.505,2757.753,33187.127,-33187.104,0.081,1.714
UTEPEPE030438-7,1270.781,-863.607,86.25,-71.262,-431769.145,87711.384
