usina,Alpha,Beta,Gamma,Omega,Mu,MSE
UTECMCE029720-8,9.886,24.758,-0.479,3.049,0.192,50022.75
UTECMCE030098-5,17.252,18.128,-2.678,5.137,0.493,60376.579
UTECMMA029700-3,3.462,1.682,-1.917,3.345,1.232,5702.35
UTECMRS029767-4,32.946,7.891,8.42,0.0,17.414,134755.396
UTECMRS032282-2,35.054,-1.646,-20.439,3.676,0.949,140422.127
UTECMSC001260-2,6.018,32.8,0.28,23.375,0.908,141797.613
UTECMSC027093-8,12.316,31.279,-0.549,20.148,0.801,112627.911
UTECMSC027094-6,5.214,45.916,7.253,20.171,0.384,356119.441
UTEGNAM027250-7,4.052,7.832,5.966,13.149,1.036,14464.411
UTEGNAM029272-9,0.0,-0.351,-0.121,0.385,7.285,15992.475
UTEGNAM029361-0,0.116,0.163,0.124,2.602,3.83,1069.726
UTEGNAM029432-2,0.0,2.031,10.927,11.928,0.817,28051.751
UTEGNAM031888-4,0.12,31.57,28.092,0.0,11.257,69464.029
UTEGNBA032545-7,0.096,0.517,-2.909,3.144,5.902,2972.78
UTEGNCE028358-4,3.56,2.908,-5.526,5.207,1.803,5716.153
UTEGNES030054-3,1.264,21.579,-6.337,8.671,0.92,30656.165
UTEGNMA030196-5,2.798,3.548,-2.619,5.057,1.659,6683.972
UTEGNMA030800-5,5.489,10.679,-0.519,1.894,0.292,45998.536
UTEGNMA031193-6,0.399,2.158,-4.22,4.231,3.72,4089.709
UTEGNMG001096-0,0.652,0.399,-1.034,1.396,1.785,2260.164
UTEGNMG001276-9,0.22,0.385,-1.947,2.138,3.778,1049.479
UTEGNMS027975-7,16.489,7.946,0.353,-0.0,4.089,12096.815
UTEGNPE028031-3,8.547,2.116,0.1,-0.0,3.58,2790.636
UTEGNPE028326-6,0.099,0.28,-2.567,2.507,5.531,1406.037
UTEGNRJ001544-0,-0.0,37.827,1.816,2.515,0.034,183950.127
UTEGNRJ027243-4,20.367,15.434,5.167,-0.659,1.371,32403.522
UTEGNRJ027952-8,9.321,1.756,-2.744,3.73,0.922,24471.769
UTEGNRJ028029-1,3.318,29.25,5.38,-7.65,-3.233,51902.044
UTEGNRJ030769-6,7.694,1.745,0.24,-0.0,14.138,25546.651
UTEGNSP028191-3,16.154,4.475,0.846,-0.0,3.469,9335.175
UTEPEAM029276-1,0.036,2.396,6.836,9.525,1.513,23825.438
UTEPEAM029499-3,0.0,-0.791,-1.93,0.901,5.301,46859.494
UTEPEBA029639-2,1.117,1.404,-4.018,3.659,2.669,3231.603
UTEPEBA029653-8,0.975,1.179,-3.691,3.369,2.722,2683.608
UTEPEES029664-3,1.823,1.781,-3.377,3.621,1.999,4230.254
UTEPEMA029668-6,0.521,0.64,-1.653,2.042,2.485,1392.501
UTEPEMA029705-4,0.071,0.092,-0.844,1.058,2.909,510.965
UTEPEPE030120-5,1.677,3.07,-4.017,4.496,1.994,5803.215
UTEPEPE030438-7,0.0,-15.927,2.651,18.845,-2.605,432081.277
