Método,Coeficiente,Média,Desvio Padrão,Mínimo,Máximo,Contagem
Padrão,Alpha,892.7901282051282,4655.599447127276,0.0,28974.214,39
Padrão,Beta,301.1254358974359,4471.490584786198,-19549.637,18262.056,39
Padrão,Gamma,18617.371615384614,57958.78830447614,-57831.017,282549.767,39
Padrão,Omega,-18531.66905128205,57979.77739025433,-282549.763,57833.152,39
Padrão,Mu,-11055.899461538462,69140.88689565126,-431769.145,189.047,39
Padrão,MSE,17693.99297435897,42001.18451570265,0.0,231081.898,39
Regressão L2,Alpha,5.874948717948717,8.654636217076519,0.0,35.054,39
Regressão L2,Beta,8.689717948717947,13.367391370418257,-15.927,45.916,39
Regressão L2,Gamma,0.2132307692307693,6.875352157340697,-20.439,28.092,39
Regressão L2,Omega,4.786205128205128,6.508190180879729,-7.65,23.375,39
Regressão L2,Mu,2.9575641025641026,3.9577801114079607,-3.233,17.414,39
Regressão L2,MSE,53713.19610256411,93047.71918666553,510.965,432081.277,39
